policy,name,accuracy_pct_mean,accuracy_pct_ci95,accuracy_pct_sd,accuracy_pct_min,accuracy_pct_max,latency_mean_ms_mean,latency_mean_ms_ci95,latency_mean_ms_sd,latency_mean_ms_min,latency_mean_ms_max,latency_p95_ms_mean,latency_p95_ms_ci95,latency_p95_ms_sd,latency_p95_ms_min,latency_p95_ms_max,latency_p99_ms_mean,latency_p99_ms_ci95,latency_p99_ms_sd,latency_p99_ms_min,latency_p99_ms_max,energy_j_mean,energy_j_ci95,energy_j_sd,energy_j_min,energy_j_max,sla_violation_pct_mean,sla_violation_pct_ci95,sla_violation_pct_sd,sla_violation_pct_min,sla_violation_pct_max,cache_hit_pct_mean,cache_hit_pct_ci95,cache_hit_pct_sd,cache_hit_pct_min,cache_hit_pct_max,throughput_per_s_mean,throughput_per_s_ci95,throughput_per_s_sd,throughput_per_s_min,throughput_per_s_max,carbon_g_per_1000_mean,carbon_g_per_1000_ci95,carbon_g_per_1000_sd,carbon_g_per_1000_min,carbon_g_per_1000_max,pred_error_mean,pred_error_ci95,pred_error_sd,pred_error_min,pred_error_max
B1,"Cloud-only monolithic",94.375,0,0,94.375,94.375,22.7233,1.387,2.96359,21.8539,35.2986,28.1551,0.111084,0.237352,27.8451,28.638,34.2934,0.728852,1.55733,31.4253,36.7726,16.7454,0.00214556,0.0045844,16.7378,16.7539,1.49512,0.139277,0.297591,1.09151,2.1758,100,0,0,100,100,37578.1,4370.31,9337.98,23721.5,51766.3,1.13659,0.0704031,0.150429,0.873689,1.37153,0,0,0,0,0
B2,"Edge-only static",92.25,0,0,92.25,92.25,15.0188,0.583461,1.24667,14.6946,20.314,33.9291,0.113662,0.242861,33.5971,34.5461,40.7243,0.0125262,0.0267645,40.7003,40.8318,2.78537,0.00818632,0.0174916,2.7417,2.80105,11.9521,0.161077,0.34417,11.2911,12.8513,88.0383,7.15021e-14,1.52778e-13,88.0383,88.0383,37578.1,4370.31,9337.98,23721.5,51766.3,0.186492,0.0112507,0.0240393,0.144104,0.224187,0,0,0,0,0
B3,"Device-only",89.4,6.4645e-14,1.38126e-13,89.4,89.4,5.04976,0.000360517,0.000770311,5.04854,5.05122,5.2352,0.000206855,0.000441985,5.23429,5.23597,5.38526,0.0197745,0.042252,5.29198,5.45247,0.0108207,4.3262e-07,9.24374e-07,0.0108193,0.0108225,0,0,0,0,0,100,0,0,100,100,37578.1,4370.31,9337.98,23721.5,51766.3,0.000750847,4.65801e-05,9.9527e-05,0.000577565,0.000906536,0,0,0,0,0
B4,"Static proportional split",93.101,5.37512e-14,1.1485e-13,93.101,93.101,12.879,0.0601113,0.128439,12.7129,13.1091,25.4955,0.63842,1.3641,23.7887,27.9602,33.0484,0.0139994,0.0299123,32.9973,33.1179,6.52966,0.00216045,0.0046162,6.52394,6.5383,4.12876,0.0768079,0.164114,3.89971,4.49782,96.0128,7.29366e-14,1.55843e-13,96.0128,96.0128,37578.1,4370.31,9337.98,23721.5,51766.3,0.447941,0.0276299,0.0590364,0.344604,0.539991,0,0,0,0,0
B5,"Greedy least-latency",93.151,0.00666362,0.0142381,93.1343,93.175,12.9253,0.0474889,0.101469,12.7909,13.0944,32.6257,0.00468814,0.0100171,32.6064,32.6439,33.2471,0.0116601,0.0249139,33.2163,33.3101,5.09703,0.0190073,0.0406126,5.04932,5.16559,7.44003,0.106262,0.227049,7.07252,7.95421,92.936,0.0362229,0.0773971,92.8453,93.0666,37578.1,4370.31,9337.98,23721.5,51766.3,0.343437,0.0204638,0.0437247,0.265005,0.410514,0,0,0,0,0
B6,"SINR/load threshold heuristic",91.8109,0.0394024,0.0841907,91.7685,92.021,10.7599,0.0670355,0.143234,10.6856,11.1169,32.687,0.00373523,0.00798101,32.6727,32.699,33.2611,0.00407075,0.00869792,33.2396,33.272,2.1913,0.0833047,0.177996,2.10091,2.63398,8.91147,0.0919175,0.196399,8.46831,9.16801,91.0703,0.0385522,0.0823741,91.0287,91.2763,37578.1,4370.31,9337.98,23721.5,51766.3,0.152433,0.0138224,0.0295342,0.111709,0.218429,0,0,0,0,0
B7,"Lyapunov drift-plus-penalty",93.1303,0.000120565,0.000257609,93.1302,93.1312,12.9253,0.0476949,0.101909,12.7912,13.0995,32.6319,0.00565522,0.0120834,32.6133,32.6578,33.2526,0.0133774,0.0285834,33.2172,33.3176,5.04463,0.0025061,0.00535475,5.0377,5.05504,7.57925,0.140928,0.301119,7.16147,8.27683,92.8235,0.00065538,0.00140034,92.823,92.8286,37578.1,4370.31,9337.98,23721.5,51766.3,0.339724,0.0209386,0.0447392,0.261277,0.409488,0,0,0,0,0
B8,"DQN orchestrator",93.3722,0.0720502,0.153949,93.0502,93.5992,11.5228,0.177898,0.380111,11.0175,12.1803,22.2393,0.277159,0.592202,21.4392,23.3571,25.9041,0.668354,1.42806,23.9438,29.3919,5.71174,0.10418,0.222599,5.00562,5.97121,0.429038,0.0696875,0.1489,0.219828,0.888913,99.6884,0.0296044,0.0632554,99.549,99.8106,37578.1,4370.31,9337.98,23721.5,51766.3,0.348529,0.022722,0.0485497,0.264108,0.434586,0.0641252,0.00520053,0.0111119,0.0447027,0.0867698
B9,"LinUCB contextual bandit",93.132,0.143983,0.307647,92.5806,93.565,11.1463,0.295301,0.630965,10.1454,12.0137,22.1479,0.254126,0.542988,21.2357,23.1854,26.1267,0.759283,1.62235,23.3239,29.3934,5.42638,0.255439,0.545794,4.35699,6.68957,0.457806,0.0827591,0.17683,0.19522,0.89739,99.706,0.0277648,0.0593246,99.6032,99.8085,37578.1,4370.31,9337.98,23721.5,51766.3,0.331986,0.0283743,0.0606271,0.241663,0.495418,0.0641252,0.00520053,0.0111119,0.0447027,0.0867698
B10,"MAIMO (proposed)",93.1942,0.113448,0.242403,92.6176,93.5992,11.3396,0.288223,0.615841,10.0904,12.1785,22.1758,0.275805,0.58931,21.3468,23.167,25.6458,0.635877,1.35867,23.5009,28.4716,5.85272,0.352645,0.753492,4.15433,6.87741,0.37858,0.0545012,0.116452,0.181696,0.691249,99.7212,0.0253573,0.0541806,99.6021,99.8211,37578.1,4370.31,9337.98,23721.5,51766.3,0.358517,0.0325244,0.0694945,0.237485,0.473143,0.0641252,0.00520053,0.0111119,0.0447027,0.0867698
