policy,name,accuracy_pct_mean,accuracy_pct_ci95,accuracy_pct_sd,accuracy_pct_min,accuracy_pct_max,latency_mean_ms_mean,latency_mean_ms_ci95,latency_mean_ms_sd,latency_mean_ms_min,latency_mean_ms_max,latency_p95_ms_mean,latency_p95_ms_ci95,latency_p95_ms_sd,latency_p95_ms_min,latency_p95_ms_max,latency_p99_ms_mean,latency_p99_ms_ci95,latency_p99_ms_sd,latency_p99_ms_min,latency_p99_ms_max,energy_j_mean,energy_j_ci95,energy_j_sd,energy_j_min,energy_j_max,sla_violation_pct_mean,sla_violation_pct_ci95,sla_violation_pct_sd,sla_violation_pct_min,sla_violation_pct_max,cache_hit_pct_mean,cache_hit_pct_ci95,cache_hit_pct_sd,cache_hit_pct_min,cache_hit_pct_max,throughput_per_s_mean,throughput_per_s_ci95,throughput_per_s_sd,throughput_per_s_min,throughput_per_s_max,carbon_g_per_1000_mean,carbon_g_per_1000_ci95,carbon_g_per_1000_sd,carbon_g_per_1000_min,carbon_g_per_1000_max,pred_error_mean,pred_error_ci95,pred_error_sd,pred_error_min,pred_error_max
B1,"Cloud-only monolithic",94.375,0,0,94.375,94.375,22.0345,0.154833,0.0973045,21.9449,22.1578,28.1179,0.251183,0.157856,27.9839,28.3279,34.2889,3.2548,2.04547,31.3909,36.1589,16.7452,0.00413233,0.00259695,16.7427,16.7484,1.44504,0.415337,0.261018,1.20885,1.8135,100,0,0,100,100,37068.8,9414.71,5916.65,29877.9,43104.6,1.11286,0.40741,0.256036,0.732861,1.29132,0,0,0,0,0
B2,"Edge-only static",92.25,0,0,92.25,92.25,14.7403,0.0364103,0.022882,14.7081,14.7613,33.7576,0.221329,0.139093,33.594,33.9331,40.6989,0.018016,0.0113221,40.6855,40.7085,2.78912,0.0123313,0.00774959,2.78187,2.79998,11.5024,0.420394,0.264196,11.214,11.7867,88.0383,2.10512e-13,1.32296e-13,88.0383,88.0383,37068.8,9414.71,5916.65,29877.9,43104.6,0.182969,0.0665198,0.0418042,0.120945,0.212275,0,0,0,0,0
B3,"Device-only",89.4,1.299e-13,8.16351e-14,89.4,89.4,5.04981,0.00101279,0.000636483,5.04891,5.05039,5.23498,0.000629939,0.000395883,5.23443,5.23531,5.34281,0.0845922,0.0531617,5.28337,5.40387,0.0108208,1.21534e-06,7.63779e-07,0.0108197,0.0108215,0,0,0,0,0,100,0,0,100,100,37068.8,9414.71,5916.65,29877.9,43104.6,0.000735356,0.00026952,0.000169379,0.000484024,0.00085368,0,0,0,0,0
B4,"Static proportional split",93.101,1.23165e-13,7.74024e-14,93.101,93.101,12.8692,0.120361,0.0756408,12.7976,12.962,25.1507,1.61501,1.01495,24.3207,26.5347,33.0224,0.061713,0.0387834,33.0016,33.0805,6.52914,0.00446947,0.00280882,6.52649,6.53263,3.94588,0.268012,0.168431,3.83199,4.19239,96.0128,1.34414e-13,8.44719e-14,96.0128,96.0128,37068.8,9414.71,5916.65,29877.9,43104.6,0.438372,0.160108,0.100619,0.288905,0.507707,0,0,0,0,0
B5,"Greedy least-latency",93.1477,0.0159834,0.0100448,93.1377,93.1603,12.9183,0.0940742,0.0591207,12.8627,12.9886,32.6123,0.0151833,0.00954193,32.6039,32.6235,33.2312,0.0409764,0.0257515,33.2074,33.2674,5.0882,0.0451487,0.0283736,5.06009,5.12401,7.16191,0.373141,0.234499,6.99321,7.50327,92.918,0.0868847,0.0546025,92.8636,92.9868,37068.8,9414.71,5916.65,29877.9,43104.6,0.335485,0.121668,0.0764619,0.221648,0.386616,0,0,0,0,0
B6,"SINR/load threshold heuristic",91.7708,0.00724445,0.00455275,91.7685,91.7776,10.6925,0.0105562,0.00663402,10.6886,10.7024,32.6781,0.0113224,0.00711551,32.6719,32.6865,33.2515,0.0163219,0.0102574,33.2424,33.2658,2.10643,0.0138793,0.00872239,2.10185,2.11951,8.62555,0.316805,0.199095,8.41047,8.84003,91.0306,0.0059435,0.00373518,91.0287,91.0362,37068.8,9414.71,5916.65,29877.9,43104.6,0.142599,0.0524048,0.0329337,0.0936727,0.165056,0,0,0,0,0
B7,"Lyapunov drift-plus-penalty",93.1303,0.000377688,0.000237357,93.1302,93.1307,12.9196,0.0966144,0.0607171,12.8631,12.993,32.6175,0.0180816,0.0113633,32.6075,32.6329,33.2355,0.0470295,0.0295556,33.2093,33.2776,5.04415,0.00533717,0.00335413,5.04116,5.04863,7.27059,0.45411,0.285384,7.06647,7.69323,92.8236,0.00205308,0.00129026,92.823,92.8255,37068.8,9414.71,5916.65,29877.9,43104.6,0.332471,0.121429,0.0763115,0.219121,0.385148,0,0,0,0,0
B8,"DQN orchestrator",93.318,0.269306,0.169245,93.2091,93.5705,11.3606,0.768673,0.483071,11.0285,12.0767,22.1828,0.524451,0.32959,21.8969,22.5431,25.7733,1.41898,0.891756,24.9412,26.6964,5.6768,0.28207,0.177266,5.56581,5.93845,0.423105,0.105972,0.0665979,0.35633,0.499851,99.6584,0.0625562,0.0393133,99.627,99.7105,37068.8,9414.71,5916.65,29877.9,43104.6,0.339644,0.126632,0.0795817,0.221275,0.38894,0.0732159,0.022932,0.0144115,0.0560951,0.0912653
B9,"LinUCB contextual bandit",92.9663,0.846933,0.532253,92.5121,93.5707,10.87,1.53282,0.963298,10.0383,12.0083,22.2018,0.492455,0.309482,21.9001,22.5094,26.1319,1.53891,0.967122,25.1307,27.203,5.17705,1.09569,0.688583,4.5872,5.93807,0.449946,0.173181,0.108835,0.314636,0.576142,99.6803,0.172682,0.108521,99.5597,99.7962,37068.8,9414.71,5916.65,29877.9,43104.6,0.309497,0.125799,0.0790578,0.21568,0.409145,0.0732159,0.022932,0.0144115,0.0560951,0.0912653
B10,"MAIMO (proposed)",93.1173,0.721166,0.453215,92.5121,93.5991,11.1349,1.27772,0.802981,10.1083,12.0685,22.1905,0.535572,0.336579,21.8895,22.5001,25.7597,1.60559,1.00903,24.8722,27.0811,5.56482,1.10553,0.694767,4.59023,6.14602,0.397631,0.167998,0.105578,0.328492,0.554968,99.695,0.0985022,0.0619034,99.629,99.7757,37068.8,9414.71,5916.65,29877.9,43104.6,0.340287,0.164443,0.103344,0.185473,0.399303,0.0732159,0.022932,0.0144115,0.0560951,0.0912653
A0,"Full MAIMO",93.1173,0.721166,0.453215,92.5121,93.5991,11.1349,1.27772,0.802981,10.1083,12.0685,22.1905,0.535572,0.336579,21.8895,22.5001,25.7597,1.60559,1.00903,24.8722,27.0811,5.56482,1.10553,0.694767,4.59023,6.14602,0.397631,0.167998,0.105578,0.328492,0.554968,99.695,0.0985022,0.0619034,99.629,99.7757,37068.8,9414.71,5916.65,29877.9,43104.6,0.340287,0.164443,0.103344,0.185473,0.399303,0.0732159,0.022932,0.0144115,0.0560951,0.0912653
A1,"w/o BiLSTM predictor",93.1173,0.721166,0.453215,92.5121,93.5991,11.1404,1.28368,0.806722,10.1088,12.0776,22.2238,0.522172,0.328158,21.9007,22.5319,26.0332,1.48641,0.934132,24.9565,27.2063,5.56482,1.10553,0.694767,4.59023,6.14602,0.48445,0.160233,0.100698,0.386459,0.586044,99.6709,0.0935989,0.058822,99.5897,99.7255,37068.8,9414.71,5916.65,29877.9,43104.6,0.340287,0.164443,0.103344,0.185473,0.399303,0.0786893,0.0155659,0.00978236,0.0686502,0.0918982
A2,"w/o PPO controller",91.6685,2.06011e-13,1.29467e-13,91.6685,91.6685,8.4047,0.0315785,0.0198454,8.38169,8.42969,10.2416,0.00180833,0.00113644,10.2407,10.2432,10.6503,0.139466,0.0876472,10.5198,10.7092,2.03958,0.000847845,0.000532826,2.03884,2.04006,0.424164,0.214793,0.134986,0.297888,0.597226,99.5609,0.137519,0.0864232,99.4527,99.6636,37068.8,9414.71,5916.65,29877.9,43104.6,0.126244,0.0461009,0.028972,0.0832501,0.146513,0.0732159,0.022932,0.0144115,0.0560951,0.0912653
A3,"w/o proactive model loading",93.1173,0.721166,0.453215,92.5121,93.5991,12.5091,1.62622,1.02199,11.2708,13.7715,32.1671,1.221,0.767335,31.0198,32.6288,32.7854,1.22923,0.772505,31.6281,33.2262,5.60792,1.11239,0.699076,4.62717,6.18707,6.14466,1.47801,0.928853,5.24291,7.44268,93.7201,1.64838,1.03592,92.2249,94.6172,37068.8,9414.71,5916.65,29877.9,43104.6,0.342607,0.165503,0.10401,0.186777,0.401678,0.0732159,0.022932,0.0144115,0.0560951,0.0912653
A4,"w/o adaptive compression",93.6974,0.524814,0.329818,93.2071,93.9042,15.351,0.955681,0.600595,14.5928,15.9739,22.0995,0.572779,0.359961,21.7964,22.6021,25.4577,2.174,1.36625,24.4458,27.4724,6.6404,1.72449,1.08375,5.28609,7.78968,0.377789,0.178103,0.111928,0.258059,0.527809,99.722,0.0858347,0.0539426,99.6716,99.7982,37068.8,9414.71,5916.65,29877.9,43104.6,0.395251,0.121774,0.0765284,0.309382,0.472356,0.0732159,0.022932,0.0144115,0.0560951,0.0912653
A5,"w/o early-exit inference",93.2074,0.65964,0.414549,92.6521,93.6391,11.5191,1.05842,0.665163,10.659,12.2811,22.8283,0.698706,0.4391,22.4202,23.2146,27.2449,1.94009,1.21925,26.1788,28.8313,5.56377,1.10509,0.694493,4.58939,6.14458,0.541168,0.251614,0.158126,0.414248,0.766669,99.695,0.0985022,0.0619034,99.629,99.7757,37068.8,9414.71,5916.65,29877.9,43104.6,0.37377,0.179639,0.112893,0.204624,0.437642,0.0732159,0.022932,0.0144115,0.0560951,0.0912653
